Product_ID,Product_Name,Category_0_counts,Category_1_counts,Category_2_counts,Category_3_counts,Category_4_counts,Category_5_counts
0,WOWOW,328,1559,278,835,1113,1887
1,スカパー,348,1583,257,812,1069,1931
2,TSUTAYA ディスカス,204,2050,360,386,746,2254
3,Netflix,191,2153,299,357,656,2344
4,Hulu,247,1916,297,540,837,2163
5,ディアボーテ HIMAWARI,65,2786,92,57,149,2851
6,ジュレーム,142,2552,201,105,306,2694
7,ラックス ルミニーク,143,2547,216,94,310,2690
8,ボタニスト,165,2495,221,119,340,2660
9,Essential,204,2560,128,108,236,2764
10,TSUBAKI,205,2557,126,112,238,2762
11,PANTENE,237,2432,163,168,331,2669
12,いち髪 スタイリングシリーズ,154,2431,294,121,415,2585
13,リーゼ スタイリングシリーズ,158,2416,285,141,426,2574
14,サラ スタイリングシリーズ,162,2439,283,116,399,2601
15,マシェリ スタイリングシリーズ,159,2439,270,132,402,2598
16,ハーゲンダッツ ミニカップ バニラ,401,1902,238,459,697,2303
17,ハーゲンダッツ ミニカップ ストロベリー,343,2121,236,300,536,2464
18,ハーゲンダッツ ミニカップ グリーンティー,258,2280,212,250,462,2538
19,ハーゲンダッツ ミニカップ チョコレートブラウニー,203,2343,228,226,454,2546
20,ヤクルト400,191,2284,290,235,525,2475
21,ジョア,191,2320,270,219,489,2511
22,明治プロビオヨーグルトR-1 ドリンクタイプ,217,2087,280,416,696,2304
23,明治プロビオヨーグルトLG21 ドリンクタイプ,189,2348,246,217,463,2537
24,明治ブルガリアヨーグルト ドリンクタイプ,235,2128,308,329,637,2363
25,恵 ガセリ菌SP株ヨーグルト ドリンクタイプ,167,2433,253,147,400,2600
26,ガーナ,278,2072,216,434,650,2350
27,meijiシリーズ,291,2030,272,407,679,2321
28,ポッキーシリーズ,319,2087,189,405,594,2406
29,キットカット,330,1899,207,564,771,2229
30,ダース,270,2269,174,287,461,2539
31,タフマン,167,2525,194,114,308,2692
32,リポビタンD,250,2196,212,342,554,2446
33,オロナミンC,256,2203,221,320,541,2459
34,チオビタドリンク,200,2288,329,183,512,2488
35,アリナミンＶ,160,2377,330,133,463,2537
36,レッドブル,170,2254,326,250,576,2424
37,ストナリニS,60,2545,342,53,395,2605
38,アレジオン10,56,2528,362,54,416,2584
39,クラリチンEX,50,2578,334,38,372,2628
40,パブロン鼻炎カプセルSα,73,2509,361,57,418,2582
41,アレグラFX,66,2465,401,68,469,2531
42,マキアージュ ドラマティックパウダリーUV,315,2496,126,63,189,2811
43,ベネフィーク ハイドロジーニアス,324,2565,72,39,111,2889
44,アルビオン エクラフチュール,327,2560,72,41,113,2887
45,コスメデコルテ モイスチュアリポソーム,320,2568,74,38,112,2888
46,プリマヴィスタ きれいな素肌質感パウダーファンデーション,308,2510,129,53,182,2818
47,アクアレーベルの化粧水,63,2786,109,42,151,2849
48,肌ラボの化粧水,73,2744,119,64,183,2817
49,キュレルの化粧水,58,2789,107,46,153,2847
50,インテグレート リアルフィットリキッド,58,2771,116,55,171,2829
51,ケイト パウダレスリキッド,56,2774,122,48,170,2830
52,ちふれ,175,2240,235,350,585,2415
53,オルビス,173,2297,232,298,530,2470
54,ケイト,172,2109,206,513,719,2281
55,タウンワーク,107,2607,245,41,286,2714
56,フロム・エー　ナビ,91,2637,241,31,272,2728
57,an,97,2635,237,31,268,2732
58,バイトル,105,2619,244,32,276,2724
59,マイナビバイト,102,2629,237,32,269,2731
60,LINEバイト,96,2635,237,32,269,2731
61,ENEOSの電力販売,188,179,252,2381,2633,367
62,ソフトバンクの電力販売,187,250,230,2333,2563,437
63,auの電力販売,195,341,306,2158,2464,536
64,東京ガスの電力販売,143,126,192,2539,2731,269
65,東急の電力販売,183,1316,450,1051,1501,1499
66,アロエステ,45,2847,66,42,108,2892
67,森永アロエヨーグルトシリーズ,119,2530,157,194,351,2649
68,明治アミノコラーゲンヨーグルトシリーズ,64,2797,83,56,139,2861
69,明治プロビオヨーグルトＲ－１シリーズ,101,2120,307,472,779,2221
70,資生堂 ザ・コラーゲンシリーズ,51,2641,252,56,308,2692
71,フィラデルフィア 贅沢3層仕立ての濃厚クリーミーチーズ,161,2512,210,117,327,2673
72,クラフト ワールドセレクト,161,2518,200,121,321,2679
73,雪印メグミルク スライスチーズ,234,2245,273,248,521,2479
74,雪印メグミルク とろけるスライス,246,2161,292,301,593,2407
75,雪印メグミルク こんがり焼ける とろけるスライス,178,2467,228,127,355,2645
76,フィラデルフィア クリームチーズ 6P,192,2402,245,161,406,2594
77,フィラデルフィア クリームチーズ 200g,176,2472,222,130,352,2648
78,明治北海道十勝贅沢スライスチーズシリーズ,166,2517,209,108,317,2683
79,arrows NX F-01J,143,2542,253,62,315,2685
80,Xperia XZ,145,2513,261,81,342,2658
81,Galaxy S7,140,2545,250,65,315,2685
82,AQUOS ZETA,150,2513,256,81,337,2663
83,iPhone,124,1656,161,1059,1220,1780
84,らくらくスマートフォン,125,2584,225,66,291,2709
85,シンプルスマホ,126,2586,223,65,288,2712
86,ＡＮＡの旅割,265,1728,301,706,1007,1993
87,ＪＡＬの先得割引,258,1675,292,775,1067,1933
88,JALパック,182,2454,264,100,364,2636
89,ANAスカイホリデー・ハローツアー,164,2477,265,94,359,2641
90,JTB,327,2233,272,168,440,2560
91,H.I.S.,269,2318,275,138,413,2587
92,鹿島建設,239,620,267,1874,2141,859
93,清水建設,225,428,230,2117,2347,653
94,大成建設,228,438,213,2121,2334,666
95,大林組,200,586,229,1985,2214,786
96,竹中工務店,204,424,196,2176,2372,628
97,ドコモの学割,69,2574,272,85,357,2643
98,auの学割天国,42,2658,262,38,300,2700
99,ソフトバンクの学割　SUPER STUDENT,48,2648,268,36,304,2696
100,NTTドコモ,265,1578,409,748,1157,1843
101,au,266,1787,389,558,947,2053
102,SoftBank,237,1916,401,446,847,2153
103,NTTドコモのはじめてスマホ割,122,2534,237,107,344,2656
104,auスマホはじめるプログラム,122,2563,224,91,315,2685
105,SoftBankのスマホデビュー割,119,2558,230,93,323,2677
106,アサヒ スーパードライ,203,1830,251,716,967,2033
107,サントリー ザ・プレミアム・モルツ,209,1975,253,563,816,2184
108,キリン 一番搾り生ビール,204,2059,244,493,737,2263
109,ヱビスビール,206,2124,250,420,670,2330
110,サントリー ザ・モルツ,185,2347,230,238,468,2532
111,キリンラガービール,200,2337,245,218,463,2537
112,サッポロ 生ビール黒ラベル,193,2285,250,272,522,2478
113,麦とホップ The gold,162,2331,230,277,507,2493
114,金麦,188,2175,230,407,637,2363
115,キリン のどごし<生>,184,2271,215,330,545,2455
116,クリアアサヒ,183,2295,234,288,522,2478
117,淡麗極上〈生〉,162,2449,230,159,389,2611
118,アネッサ,50,2775,135,40,175,2825
119,アリィー,50,2770,141,39,180,2820
120,スポーツ ビューティ,43,2789,131,37,168,2832
121,マクドナルド,270,1259,323,1148,1471,1529
122,モスバーガー,215,2040,300,445,745,2255
123,ケンタッキーフライドチキン,224,1923,325,528,853,2147
124,デニーズ,200,2257,284,259,543,2457
125,ガスト,264,1916,296,524,820,2180
126,サイゼリヤ,240,1967,297,496,793,2207
127,吉野家,226,1971,294,509,803,2197
128,すき家,223,1951,306,520,826,2174
129,はなまるうどん,210,2241,276,273,549,2451
130,丸亀製麺,246,2040,274,440,714,2286
131,東京海上日動,210,2069,333,388,721,2279
132,損保ジャパン日本興亜,199,2161,292,348,640,2360
133,三井住友海上,191,2217,279,313,592,2408
134,ソニー損保,205,2194,284,317,601,2399
135,イーデザイン損保,157,2340,271,232,503,2497
136,ピーチ・ジョン,111,2566,113,210,323,2677
137,Ravijour,62,2794,90,54,144,2856
138,２ウィーク アキュビュー,183,2601,105,111,216,2784
139,ワンデー アキュビュー,188,2519,112,181,293,2707
140,２ＷＥＥＫメニコン プレミオ,176,2648,95,81,176,2824
141,１ＤＡＹ メニコン プレミオ,173,2674,94,59,153,2847
142,Magic 1dayメニコン フラットパック,173,2675,89,63,152,2848
143,ヤマザキ 超芳醇,253,2015,302,430,732,2268
144,ヤマザキ ロイヤルブレッド,282,1970,303,445,748,2252
145,Pasco 超熟,357,1937,206,500,706,2294
146,フジパン 本仕込,295,2229,184,292,476,2524
147,ランチパック,337,1822,238,603,841,2159
148,earth music&ecology,232,1897,239,632,871,2129
149,ジーユー,206,1093,298,1403,1701,1299
150,しまむら,194,886,284,1636,1920,1080
151,グローバルワーク,182,1875,281,662,943,2057
152,ユニクロ,209,147,186,2458,2644,356
153,爽健美茶,252,1765,348,635,983,2017
154,伊右衛門,250,1495,367,888,1255,1745
155,生茶,274,1641,345,740,1085,1915
156,お～いお茶,319,1449,298,934,1232,1768
157,十六茶,321,1757,319,603,922,2078
158,果汁グミ,312,2137,222,329,551,2449
159,ピュレグミ,261,2275,234,230,464,2536
160,コカ・コーラ,189,1612,353,846,1199,1801
161,コカ・コーラ ゼロ,152,2069,311,468,779,2221
162,ペプシ,135,2252,313,300,613,2387
163,三ツ矢サイダー,137,1866,419,578,997,2003
164,ファンタ,178,2119,289,414,703,2297
165,オランジーナ,173,2112,310,405,715,2285
166,ハニーレモンジーナ,100,2382,305,213,518,2482
167,キリン メッツ,103,2389,292,216,508,2492
168,キリン メッツ コーラ,80,2312,362,246,608,2392
169,C．C．レモン,154,2186,331,329,660,2340
170,新生銀行レイク,173,2455,227,145,372,2628
171,プロミス,167,2452,231,150,381,2619
172,アコム,172,2449,228,151,379,2621
173,アイフル,163,2466,227,144,371,2629
174,明治ヘルシーソフト オフスタイル,192,2426,215,167,382,2618
175,雪印ネオソフト,412,1655,281,652,933,2067
176,クリーミースム～ス,204,2371,227,198,425,2575
177,明治ぬってから焼く！チーズがこんがりソフト,208,2385,218,189,407,2593
178,ジムビーム,179,2426,236,159,395,2605
179,ジャックダニエル,180,2422,235,163,398,2602
180,キリン 氷結,230,1976,298,496,794,2206
181,-196℃,231,2078,275,416,691,2309
182,キリン ビターズ,195,2245,264,296,560,2440
183,角ハイボール,193,2303,249,255,504,2496
184,トリス ハイボール,184,2328,254,234,488,2512
185,ウメッシュ,203,2326,262,209,471,2529
186,酔わないウメッシュ,189,2399,254,158,412,2588
187,さらりとした梅酒,191,2392,252,165,417,2583
188,リクナビNEXT,178,2247,260,315,575,2425
189,マイナビ転職,167,2354,256,223,479,2521
190,エン転職,213,2509,104,174,278,2722
191,DODA,173,2438,211,178,389,2611
192,ビズリーチ,161,2492,214,133,347,2653
193,SUUMO,149,2496,226,129,355,2645
194,アットホーム,140,2514,220,126,346,2654
195,HOME'S,141,2510,220,129,349,2651
196,CHINTAI,133,2528,215,124,339,2661
197,いい部屋ネット,132,2528,216,124,340,2660
198,めちゃコミック,154,2414,237,195,432,2568
199,まんが王国,160,2453,235,152,387,2613
